axis,condition,confidence
altitude,1.0,0.8653496503829956
altitude,0.25,0.8630058169364929
altitude,0.1,0.8487008213996887
altitude,0.05,0.7862969040870667
altitude,0.03,0.29031607508659363
altitude,0.02,0.0
occlusion,0.0,0.8653496503829956
occlusion,0.2,0.8632447123527527
occlusion,0.4,0.8616527318954468
occlusion,0.6,0.8574808835983276
occlusion,0.8,0.8296888470649719
occlusion,1.0,0.0
lighting,1.0,0.8653496503829956
lighting,0.3,0.8725728392601013
lighting,0.15,0.8595539331436157
lighting,0.08,0.839766263961792
lighting,0.04,0.794363260269165
lighting,0.02,0.5622142553329468
